[2]- Total no of Control Statement:,[3]- Total no of Allocation instruction:,[6]- Total no of Multiplication (Float Datatype) Operation:,[7]- Total no of Addition(Integer Datatype) Instruction:,[8]- Total no of Multiplication(Integer Datatype) Instruction:,[11]-Total no of Condition Check instruction:,[12]-Total no of Addition(Float Datatype) instruction:,[13]-Total no of Addition(Integer Datatype) instruction:,[20]-Total no of Float Operation:,[21]-Total no of Integer Operation:,[9]- Total no of Division(Float Datatype) instruction:,Data Size,Class,,rank,Feature,inforamtion gain
0,0,0,2,2,0,1,2,6,12,0,1048576,1,,1,Data Size,3.60E-01
18,0,0,15,4,7,1,15,9,141,1,512,0,,2,[20]-Total no of Float Operation:,1.11E-01
18,0,0,15,4,7,1,15,9,141,1,256,1,,3,[12]-Total no of Addition(Float Datatype) instruction:,8.10E-02
0,0,0,21,14,0,0,21,12,73,0,8192,0,,4,[21]-Total no of Integer Operation:,6.59E-02
5,0,1,16,7,4,0,16,4,117,0,1024,1,,5,[2]- Total no of Control Statement:,5.90E-02
12,0,0,4,1,6,1,4,11,225,0,1024,1,,6,[9]- Total no of Division(Float Datatype) instruction:,5.74E-02
5,0,1,16,7,4,0,16,4,117,0,100,1,,7,[13]-Total no of Addition(Integer Datatype) instruction:,5.59E-02
6,0,2,2,1,3,0,2,6,26,0,2048,1,,8,[11]-Total no of Condition Check instruction:,5.54E-02
1,5,24,3,3,2,3,3,271,57,11,6553600,1,,9,[8]- Total no of Multiplication(Integer Datatype) Instruction:,5.48E-02
6,0,4,2,0,3,1,2,6,31,0,2048,0,,10,[7]- Total no of Addition(Integer Datatype) Instruction:,4.72E-02
12,0,0,4,1,6,1,4,11,225,0,2048,1,,11,[6]- Total no of Multiplication (Float Datatype) Operation:,3.34E-02
6,0,2,2,0,3,0,2,5,25,0,3072,0,,12,[3]- Total no of Allocation instruction:,1.90E-02
8,0,0,2,2,3,0,2,0,59,0,131072,1,,,,
7,5,5,7,6,6,5,7,5,60,5,4194304,1,,,,
6,0,4,2,0,3,1,2,6,31,0,1024,0,,,,
18,0,0,6,3,9,0,6,10,183,0,1024,1,,,,
0,0,0,2,2,0,1,2,6,12,0,131072,1,,,,
18,2,2,4,2,16,2,4,2,29,2,4096,1,,,,
10,0,0,2,1,4,0,2,7,60,0,13000,1,,,,
10,0,0,2,1,4,0,2,7,64,0,512,1,,,,
10,0,0,2,1,4,0,2,7,60,0,8192,1,,,,
5,0,1,16,7,4,0,16,4,117,0,13000,1,,,,
2,0,0,2,1,1,0,2,0,55,0,3072,1,,,,
5,0,1,1,0,2,0,1,8,22,0,4096,1,,,,
12,0,0,4,2,6,0,4,9,85,0,4096,1,,,,
10,0,0,2,1,4,0,2,7,60,0,4096,1,,,,
3,0,0,2,1,1,0,2,3,22,0,512,1,,,,
18,2,2,4,2,16,2,4,2,29,2,512,1,,,,
5,0,1,1,0,2,0,1,8,22,0,2048,1,,,,
6,0,2,2,1,3,0,2,6,26,0,512,1,,,,
17,1,1,3,1,15,1,3,1,28,1,8388608,1,,,,
17,1,1,3,1,15,1,3,1,28,1,2097152,1,,,,
8,0,0,2,2,3,0,2,0,59,0,268435456,1,,,,
12,0,0,4,2,6,0,4,9,85,0,2048,1,,,,
5,0,1,1,0,2,0,1,8,22,0,8192,1,,,,
12,0,0,4,1,6,1,4,11,225,0,512,1,,,,
0,0,0,2,2,0,1,2,6,12,0,1048576,1,,,,
10,0,0,2,1,4,0,2,7,56,0,2048,1,,,,
10,0,0,2,1,4,0,2,7,60,0,2048,1,,,,
8,0,0,2,2,3,0,2,0,59,0,32768,1,,,,
18,0,0,6,3,9,0,6,10,183,0,2048,1,,,,
26,0,1,21,5,9,1,21,16,294,3,256,1,,,,
12,0,0,4,2,6,0,4,9,85,0,1024,1,,,,
18,0,0,15,4,7,1,15,9,141,1,1536,0,,,,
26,0,1,21,5,9,1,21,16,294,3,1024,0,,,,
17,1,1,3,1,15,1,3,1,28,1,65536,1,,,,
0,0,0,2,2,0,1,2,6,12,0,16384,1,,,,
16,0,0,8,6,6,0,8,11,196,1,2048,1,,,,
7,5,5,7,6,6,5,7,5,60,5,6553600,1,,,,
6,0,2,2,1,3,0,2,6,26,0,256,1,,,,
16,0,0,8,6,6,0,8,11,196,1,1024,1,,,,
2,0,0,2,1,1,0,2,0,55,0,2048,1,,,,
26,0,1,21,5,9,1,21,16,294,3,1536,0,,,,
1,5,24,3,3,2,3,3,271,57,11,262144,1,,,,
0,0,0,2,2,0,1,2,6,12,0,13107200,1,,,,
6,0,2,2,0,3,0,2,5,25,0,512,1,,,,
3,0,0,2,1,1,0,2,3,22,0,4096,0,,,,
6,0,2,2,0,3,0,2,5,25,0,1536,0,,,,
0,0,0,2,2,0,1,2,6,12,0,512,1,,,,
16,0,0,8,6,6,0,8,11,196,1,8192,1,,,,
5,0,1,1,0,2,0,1,8,22,0,13000,1,,,,
6,0,2,2,0,3,0,2,5,25,0,1024,0,,,,
6,0,2,2,0,3,0,2,5,25,0,128,1,,,,
17,1,1,3,1,15,1,3,1,28,1,262144,1,,,,
10,0,0,2,1,4,0,2,7,56,0,1024,1,,,,
0,0,0,21,14,0,0,21,12,73,0,512,1,,,,
18,2,2,4,2,16,2,4,2,29,2,1024,1,,,,
18,0,0,15,4,7,1,15,9,141,1,128,1,,,,
6,0,2,2,1,3,0,2,6,26,0,1024,1,,,,
18,2,2,4,2,16,2,4,2,29,2,5120,1,,,,
10,0,0,2,1,4,0,2,7,64,0,4096,1,,,,
26,0,1,21,5,9,1,21,16,294,3,512,0,,,,
12,0,0,4,2,6,0,4,9,85,0,256,1,,,,
2,0,0,2,1,1,0,2,0,55,0,5120,1,,,,
18,0,0,6,3,9,0,6,10,183,0,4096,1,,,,
2,0,0,2,1,1,0,2,0,55,0,512,1,,,,
10,0,0,2,1,4,0,2,7,64,0,2048,1,,,,
7,5,5,7,6,6,5,7,5,60,5,262144,1,,,,
8,5,5,7,6,6,5,7,8,27,5,8192,1,,,,
7,5,5,7,6,6,5,7,5,60,5,2097152,1,,,,
5,0,1,16,7,4,0,16,4,117,0,300,1,,,,
12,0,0,4,1,6,1,4,11,225,0,8192,1,,,,
0,0,0,21,14,0,0,21,12,73,0,4096,1,,,,
5,0,1,16,7,4,0,16,4,117,0,2048,1,,,,
10,0,0,2,1,4,0,2,7,64,0,13000,1,,,,
12,0,0,4,1,6,1,4,11,225,0,128,1,,,,
6,0,4,2,0,3,1,2,6,31,0,256,1,,,,
7,5,5,7,6,6,5,7,5,60,5,262144,1,,,,
0,0,0,2,2,0,1,2,6,12,0,131072,1,,,,
12,0,0,4,2,6,0,4,9,85,0,512,1,,,,
0,0,0,21,14,0,0,21,12,73,0,128,1,,,,
10,0,0,2,1,4,0,2,7,60,0,512,1,,,,
20,0,8,9,0,7,1,9,0,162,0,64,1,,,,
0,0,0,2,2,0,1,2,6,12,0,2048,1,,,,
6,0,4,2,0,3,1,2,6,31,0,512,0,,,,
8,5,5,7,6,6,5,7,8,27,5,65536,1,,,,
0,0,0,2,2,0,1,2,6,12,0,13107200,1,,,,
7,5,5,7,6,6,5,7,5,60,5,32768,1,,,,
8,5,5,7,6,6,5,7,8,27,5,8388608,1,,,,
10,0,0,2,1,4,0,2,7,64,0,1024,1,,,,
7,5,5,7,6,6,5,7,5,60,5,1048576,1,,,,
1,5,24,3,3,2,3,3,271,57,11,4194304,1,,,,
5,0,1,16,7,4,0,16,4,117,0,450,1,,,,
8,5,5,7,6,6,5,7,8,27,5,33554432,1,,,,
3,0,0,2,1,1,0,2,3,22,0,1024,1,,,,
3,0,0,2,1,1,0,2,3,22,0,256,1,,,,
10,0,0,2,1,4,0,2,7,56,0,4096,1,,,,
7,5,5,7,6,6,5,7,5,60,5,67108864,1,,,,
10,0,0,2,1,4,0,2,7,60,0,1024,1,,,,
20,0,8,9,0,7,1,9,0,162,0,32,1,,,,
5,0,1,16,7,4,0,16,4,117,0,512,1,,,,
20,0,8,9,0,7,1,9,0,162,0,40,1,,,,
8,0,0,2,2,3,0,2,0,59,0,1048576,1,,,,
8,0,0,2,2,3,0,2,0,59,0,16777216,1,,,,
6,0,4,2,0,3,1,2,6,31,0,1536,0,,,,
10,0,0,2,1,4,0,2,7,56,0,13000,1,,,,
20,0,8,9,0,7,1,9,0,162,0,4,1,,,,
6,0,2,2,0,3,0,2,5,25,0,2048,0,,,,
17,1,1,3,1,15,1,3,1,28,1,8192,1,,,,
5,0,1,1,0,2,0,1,8,22,0,1024,1,,,,
5,0,1,16,7,4,0,16,4,117,0,200,1,,,,
5,0,1,16,7,4,0,16,4,117,0,8192,1,,,,
5,0,1,1,0,2,0,1,8,22,0,512,1,,,,
0,0,0,2,2,0,1,2,6,12,0,16384,1,,,,
6,0,4,2,0,3,1,2,6,31,0,128,1,,,,
1,5,24,3,3,2,3,3,271,57,11,1048576,1,,,,
5,0,1,16,7,4,0,16,4,117,0,50,1,,,,
16,0,0,8,6,6,0,8,11,196,1,512,0,,,,
3,0,0,2,1,1,0,2,3,22,0,2048,0,,,,
20,0,8,9,0,7,1,9,0,162,0,16,1,,,,
18,2,2,4,2,16,2,4,2,29,2,2048,1,,,,
7,5,5,7,6,6,5,7,5,60,5,4096,1,,,,
10,0,0,2,1,4,0,2,7,56,0,512,1,,,,
10,0,0,2,1,4,0,2,7,64,0,8192,1,,,,
18,0,0,6,3,9,0,6,10,183,0,512,1,,,,
6,0,2,2,1,3,0,2,6,26,0,4096,1,,,,
5,0,1,16,7,4,0,16,4,117,0,4096,1,,,,
16,0,0,8,6,6,0,8,11,196,1,128,1,,,,
18,0,0,15,4,7,1,15,9,141,1,1024,0,,,,
6,0,2,2,0,3,0,2,5,25,0,256,1,,,,
26,0,1,21,5,9,1,21,16,294,3,128,1,,,,
18,0,0,6,3,9,0,6,10,183,0,256,1,,,,
16,0,0,8,6,6,0,8,11,196,1,4096,1,,,,
10,0,0,2,1,4,0,2,7,56,0,8192,1,,,,
12,0,0,4,1,6,1,4,11,225,0,4096,1,,,,
2,0,0,2,1,1,0,2,0,55,0,1024,1,,,,
8,5,5,7,6,6,5,7,8,27,5,524288,1,,,,
