Program no,Name,[1]- Total no of Return statement:,[2]- Total no of Control Statement:,[3]- Total no of Allocation instruction:,[4]- Total no of Load Instructions:,[5]- Total no of Store Instructions:,[6]- Total no of Multiplication (Float Datatype) Operation:,[7]- Total no of Addition(Integer Datatype) Instruction:,[8]- Total no of Multiplication(Integer Datatype) Instruction:,[9]- Total no of Division(Float Datatype) instruction:,[10]-Total no of Division(Integer Datatype) instruction: ,[11]-Total no of Condition Check instruction:,[12]-Total no of Addition(Float Datatype) instruction:,[13]-Total no of Addition(Integer Datatype) instruction:,[14]-Total no of Subtraction(Float Datatype) instruction:,[15]-Total no of Subtraction(Integer Datatype) instruction:,[16]-Total no of Function Call instruction:,[17]-Total no of Functions:,[18]-Total no of Blocks:,[19]-Total no of Instructions:,[20]-Total no of Float Operation:,[21]-Total no of Integer Operation:,[22]-Total no of Loop Operation:,[23]-Total no of Loop:,Data Size,Speed_up,,,Feature Ranking,
89,3d Conv Polybecnh,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,200,1.55619834710744,,rank,Feature,informationgain
29,Fast Walsh Transform amd,1,8,0,2,4,0,2,2,0,0,3,0,2,0,2,1,4,9,40,0,59,0,0,32768,1.16242937853107,,1,Data Size,5.45E-01
113,fdtd polybench,3,12,0,12,4,0,4,1,0,0,6,1,4,4,0,3,6,15,72,11,225,0,0,8192,6.4819640239475,,2,[21]-Total no of Integer Operation:,8.10E-02
129,syrk polybench,1,6,0,4,2,2,2,0,0,0,3,0,2,0,0,1,4,7,28,5,25,0,0,1024,1.81483166515014,,3,[4]- Total no of Load Instructions:,7.12E-02
27,Discrete Cosine Transform amd,2,17,1,5,9,1,3,1,1,1,15,1,3,1,4,2,5,18,150,1,28,1,1,2097152,1.50557620817844,,4,[18]-Total no of Blocks:,5.05E-02
61,gesummv polybench,1,5,0,8,3,1,1,0,0,0,2,0,1,0,0,3,4,6,29,8,22,0,0,4096,1.03076030179919,,5,[19]-Total no of Instructions:,3.93E-02
21,Bitonic SortDP  amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,1048576,1.31030455484682,,6,[2]- Total no of Control Statement:,3.72E-02
35,Floyd Warshall amd,1,2,0,3,2,0,2,1,0,0,1,0,2,0,0,0,3,3,19,0,55,0,1,1024,1.76481346013168,,7,[16]-Total no of Function Call instruction:,2.85E-02
91,3d Conv Polybecnh,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,450,1.22377126654064,,8,[20]-Total no of Float Operation:,2.79E-02
162,lavaMD rodinia,1,20,0,22,5,8,9,0,0,0,7,1,9,5,1,13,8,21,147,0,162,0,0,64,5.60132911662892,,9,[8]- Total no of Multiplication(Integer Datatype) Instruction:,2.27E-02
3,Binomial Option amd,1,0,0,2,2,0,2,2,0,0,0,1,2,1,0,1,4,1,18,6,12,0,0,131072,6.5184007269423,,10,[14]-Total no of Subtraction(Float Datatype) instruction:,1.88E-02
108,fdtd polybench,3,12,0,12,4,0,4,1,0,0,6,1,4,4,0,3,6,15,72,11,225,0,0,128,2.53965183752418,,11,[5]- Total no of Store Instructions:,1.54E-02
56,Gemm polybench,1,6,0,4,2,2,2,1,0,0,3,0,2,0,0,1,4,7,29,6,26,0,0,2048,8.55178187036594,,12,[11]-Total no of Condition Check instruction:,1.49E-02
18,Black Scholes amd,5,1,5,11,7,24,3,3,11,1,2,3,3,21,1,47,10,5,158,271,57,1,1,4194304,1.49499888864192,,13,[6]- Total no of Multiplication (Float Datatype) Operation:,1.28E-02
137,intel bitsonic ,6,8,5,7,6,5,7,6,5,5,6,5,7,5,5,7,10,9,26,8,27,5,5,33554432,4.03936816524909,,14,[13]-Total no of Addition(Integer Datatype) instruction:,1.00E-02
121,syr2k polybencch,1,6,0,6,2,4,2,0,0,0,3,1,2,0,0,1,4,7,35,6,31,0,0,256,1.76779661016949,,15,[9]- Total no of Division(Float Datatype) instruction:,7.75E-03
161,lavaMD rodinia,1,20,0,22,5,8,9,0,0,0,7,1,9,5,1,13,8,21,147,0,162,0,0,40,5.59251883279938,,16,[15]-Total no of Subtraction(Integer Datatype) instruction:,3.96E-03
39,Matrix-Vector Multiplication amd,3,18,2,6,10,2,4,2,2,2,16,2,4,2,5,3,6,19,151,2,29,2,2,512,2.2295719844358,,17,[7]- Total no of Addition(Integer Datatype) Instruction:,3.01E-03
42,Matrix-Vector Multiplication amd,3,18,2,6,10,2,4,2,2,2,16,2,4,2,5,3,6,19,151,2,29,2,2,4096,9.41859014348097,,18,[1]- Total no of Return statement:,2.67E-03
34,Floyd Warshall amd,1,2,0,3,2,0,2,1,0,0,1,0,2,0,0,0,3,3,19,0,55,0,1,512,1.38132530120482,,19,[17]-Total no of Functions:,2.16E-03
8,Binomial Option Multi GPU amd,1,0,0,2,2,0,2,2,0,0,0,1,2,1,0,1,4,1,18,6,12,0,0,131072,8.20936639118457,,20,[22]-Total no of Loop Operation:,2.01E-03
25,Discrete Cosine Transform amd,2,17,1,5,9,1,3,1,1,1,15,1,3,1,4,2,5,18,150,1,28,1,1,65536,1.57641582622188,,21,[12]-Total no of Addition(Float Datatype) instruction:,1.89E-03
76,2mm polybecnh,2,12,0,6,2,0,4,2,0,0,6,0,4,0,0,2,5,14,50,9,85,0,0,256,1.68659793814433,,22,[23]-Total no of Loop:,1.19E-03
16,Black Scholes amd,5,1,5,11,7,24,3,3,11,1,2,3,3,21,1,47,10,5,158,271,57,1,1,262144,1.52047619047619,,23,[3]- Total no of Allocation instruction:,6.34E-04
127,syrk polybench,1,6,0,4,2,2,2,0,0,0,3,0,2,0,0,1,4,7,28,5,25,0,0,256,1.75091575091575,,24,[10]-Total no of Division(Integer Datatype) instruction: ,1.09E-05
72,Atax polybnech ,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,60,0,0,2048,1.62612612612613,,,,
119,gramschmidt polybench,3,16,0,9,5,0,8,6,1,0,6,0,8,1,0,4,7,19,84,11,196,0,0,8192,1.57582613741822,,,,
63,gesummv polybench,1,5,0,8,3,1,1,0,0,0,2,0,1,0,0,3,4,6,29,8,22,0,0,13000,1.03935784567582,,,,
67,mvt polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,56,0,0,4096,1.42214022140221,,,,
86,3d Conv Polybecnh,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,13000,1.10971422241914,,,,
59,gesummv polybench,1,5,0,8,3,1,1,0,0,0,2,0,1,0,0,3,4,6,29,8,22,0,0,1024,1.79779411764706,,,,
99,Corrrelation polybench,4,26,0,14,12,1,21,5,3,0,9,1,21,2,0,4,8,30,136,16,294,6,6,256,1.31569817866435,,,,
135,intel bitsonic ,6,8,5,7,6,5,7,6,5,5,6,5,7,5,5,7,10,9,26,8,27,5,5,524288,2.74,,,,
19,Black Scholes amd,5,1,5,11,7,24,3,3,11,1,2,3,3,21,1,47,10,5,158,271,57,1,1,6553600,1.56539910221351,,,,
111,fdtd polybench,3,12,0,12,4,0,4,1,0,0,6,1,4,4,0,3,6,15,72,11,225,0,0,2048,5.42192085821273,,,,
141,GEMM Intel,1,3,0,2,1,0,2,1,0,0,1,0,2,0,0,2,5,4,21,3,22,0,0,2048,1.23134615384615,,,,
40,Matrix-Vector Multiplication amd,3,18,2,6,10,2,4,2,2,2,16,2,4,2,5,3,6,19,151,2,29,2,2,1024,2.16640337019484,,,,
131,syrk polybench,1,6,0,4,2,2,2,0,0,0,3,0,2,0,0,1,4,7,28,5,25,0,0,2048,3.38806805462279,,,,
88,3d Conv Polybecnh,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,100,1.83609576427256,,,,
79,2mm polybecnh,2,12,0,6,2,0,4,2,0,0,6,0,4,0,0,2,5,14,50,9,85,0,0,2048,9.26834104428288,,,,
105,covariance polybench,3,18,0,9,7,0,15,4,1,0,7,1,15,1,0,1,6,21,84,9,141,5,5,512,1.65194681861349,,,,
50,3mm polybench ,3,18,0,9,3,0,6,3,0,0,9,0,6,0,0,3,6,21,75,10,183,0,0,1024,2.07097791798107,,,,
68,mvt polybench,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,56,0,0,8192,1.401152593335,,,,
102,Corrrelation polybench,4,26,0,14,12,1,21,5,3,0,9,1,21,2,0,4,8,30,136,16,294,6,6,1536,1.87119276193107,,,,
118,gramschmidt polybench,3,16,0,9,5,0,8,6,1,0,6,0,8,1,0,4,7,19,84,11,196,0,0,4096,4.54748226499389,,,,
60,gesummv polybench,1,5,0,8,3,1,1,0,0,0,2,0,1,0,0,3,4,6,29,8,22,0,0,2048,1.65867418899859,,,,
31,Fast Walsh Transform amd,1,8,0,2,4,0,2,2,0,0,3,0,2,0,2,1,4,9,40,0,59,0,0,1048576,1.30620413609073,,,,
104,covariance polybench,3,18,0,9,7,0,15,4,1,0,7,1,15,1,0,1,6,21,84,9,141,5,5,256,1.14170403587444,,,,
96,BICG polybench ,2,10,0,6,4,0,2,1,0,0,4,0,2,0,0,2,5,12,40,7,64,0,0,8192,1.23090128755365,,,,
133,intel bitsonic ,6,8,5,7,6,5,7,6,5,5,6,5,7,5,5,7,10,9,26,8,27,5,5,8192,2.85537190082645,,,,
107,covariance polybench,3,18,0,9,7,0,15,4,1,0,7,1,15,1,0,1,6,21,84,9,141,5,5,1536,1.83501638467197,,,,
87,3d Conv Polybecnh,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,50,2.26903553299492,,,,
37,Floyd Warshall amd,1,2,0,3,2,0,2,1,0,0,1,0,2,0,0,0,3,3,19,0,55,0,1,3072,4.08085450601169,,,,
36,Floyd Warshall amd,1,2,0,3,2,0,2,1,0,0,1,0,2,0,0,0,3,3,19,0,55,0,1,2048,4.66641972695523,,,,
139,GEMM Intel,1,3,0,2,1,0,2,1,0,0,1,0,2,0,0,2,5,4,21,3,22,0,0,512,2.11229135053111,,,,
142,GEMM Intel,1,3,0,2,1,0,2,1,0,0,1,0,2,0,0,2,5,4,21,3,22,0,0,4096,1.28736548425668,,,,
12,Bitonic Sort amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,32768,1.20719424460432,,,,
6,Binomial Option Multi GPU amd,1,0,0,2,2,0,2,2,0,0,0,1,2,1,0,1,4,1,18,6,12,0,0,2048,1.75616438356164,,,,
75,Atax polybnech ,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,60,0,0,13000,1.09616878074036,,,,
45,Matrix Transpose amd,1,0,0,8,8,0,21,14,0,0,0,0,21,0,0,8,9,1,125,12,73,0,0,512,1.6561324303988,,,,
70,Atax polybnech ,2,10,0,6,2,0,2,1,0,0,4,0,2,0,0,2,5,12,38,7,60,0,0,512,2.2406015037594,,,,
32,Fast Walsh Transform amd,1,8,0,2,4,0,2,2,0,0,3,0,2,0,2,1,4,9,40,0,59,0,0,16777216,1.53731009830206,,,,
122,syr2k polybencch,1,6,0,6,2,4,2,0,0,0,3,1,2,0,0,1,4,7,35,6,31,0,0,512,1.25282363162467,,,,
